,0
0,1-22-2020
1,1-23-2020
2,1-24-2020
3,1-25-2020
4,1-26-2020
5,1-27-2020
6,1-28-2020
7,1-29-2020
8,1-30-2020
9,1-31-2020
10,02-01-2020
11,02-02-2020
12,02-03-2020
13,02-04-2020
14,02-05-2020
15,02-06-2020
16,02-07-2020
17,02-08-2020
18,02-09-2020
19,02-10-2020
20,02-11-2020
21,02-12-2020
22,2-13-2020
23,2-14-2020
24,2-15-2020
25,2-16-2020
26,2-17-2020
27,2-18-2020
28,2-19-2020
29,2-20-2020
30,2-21-2020
31,2-22-2020
32,2-23-2020
33,2-24-2020
34,2-25-2020
35,2-26-2020
36,2-27-2020
37,2-28-2020
38,2-29-2020
39,03-01-2020
40,03-02-2020
41,03-03-2020
42,03-04-2020
43,03-05-2020
44,03-06-2020
45,03-07-2020
46,03-08-2020
47,03-09-2020
48,03-10-2020
49,03-11-2020
50,03-12-2020
51,3-13-2020
52,3-14-2020
53,3-15-2020
54,3-16-2020
55,3-17-2020
56,3-18-2020
57,3-19-2020
58,3-20-2020
59,3-21-2020
60,3-22-2020
61,3-23-2020
62,3-24-2020
63,3-25-2020
64,3-26-2020
65,3-27-2020
66,3-28-2020
67,3-29-2020
68,3-30-2020
69,3-31-2020
70,04-01-2020
71,04-02-2020
72,04-03-2020
73,04-04-2020
74,04-05-2020
75,04-06-2020
76,04-07-2020
77,04-08-2020
78,04-09-2020
79,04-10-2020
80,04-11-2020
81,04-12-2020
82,4-13-2020
83,4-14-2020
84,4-15-2020
85,4-16-2020
86,4-17-2020
87,4-18-2020
88,4-19-2020
89,4-20-2020
90,4-21-2020
91,4-22-2020
92,4-23-2020
93,4-24-2020
94,4-25-2020
95,4-26-2020
96,4-27-2020
97,4-28-2020
98,4-29-2020
99,4-30-2020
100,05-01-2020
101,05-02-2020
102,05-03-2020
103,05-04-2020
104,05-05-2020
105,05-06-2020
106,05-07-2020
107,05-08-2020
108,05-09-2020
109,05-10-2020
110,05-11-2020
111,05-12-2020
112,5-13-2020
113,5-14-2020
114,5-15-2020
115,5-16-2020
116,5-17-2020
117,5-18-2020
118,5-19-2020
119,5-20-2020
120,5-21-2020
121,5-22-2020
122,5-23-2020
123,5-24-2020
124,5-25-2020
125,5-26-2020
126,5-27-2020
127,5-28-2020
128,5-29-2020
129,5-30-2020
130,5-31-2020
131,06-01-2020
132,06-02-2020
133,06-03-2020
134,06-04-2020
135,06-05-2020
136,06-06-2020
137,06-07-2020
138,06-08-2020
139,06-09-2020
140,06-10-2020
141,06-11-2020
142,06-12-2020
143,6-13-2020
144,6-14-2020
145,6-15-2020
146,6-16-2020
147,6-17-2020
148,6-18-2020
149,6-19-2020
150,6-20-2020
151,6-21-2020
152,6-22-2020
153,6-23-2020
154,6-24-2020
155,6-25-2020
156,6-26-2020
157,6-27-2020
158,6-28-2020
159,6-29-2020
160,6-30-2020
161,07-01-2020
162,07-02-2020
163,07-03-2020
164,07-04-2020
165,07-05-2020
166,07-06-2020
167,07-07-2020
168,07-08-2020
169,07-09-2020
170,07-10-2020
171,07-11-2020
172,07-12-2020
173,7-13-2020
174,7-14-2020
175,7-15-2020
176,7-16-2020
177,7-17-2020
178,7-18-2020
179,7-19-2020
180,7-20-2020
181,7-21-2020
182,7-22-2020
183,7-23-2020
184,7-24-2020
185,7-25-2020
186,7-26-2020
187,7-27-2020
188,7-28-2020
189,7-29-2020
190,7-30-2020
191,7-31-2020
192,08-01-2020
193,08-02-2020
194,08-03-2020
195,08-04-2020
196,08-05-2020
197,08-06-2020
198,08-07-2020
199,08-08-2020
200,08-09-2020
201,08-10-2020
202,08-11-2020
203,08-12-2020
204,8-13-2020
205,8-14-2020
206,8-15-2020
207,8-16-2020
208,8-17-2020
209,8-18-2020
210,8-19-2020
211,8-20-2020
212,8-21-2020
213,8-22-2020
214,8-23-2020
215,8-24-2020
216,8-25-2020
217,8-26-2020
218,8-27-2020
219,8-28-2020
220,8-29-2020
221,8-30-2020
222,8-31-2020
223,09-01-2020
224,09-02-2020
225,09-03-2020
226,09-04-2020
227,09-05-2020
228,09-06-2020
229,09-07-2020
230,09-08-2020
231,09-09-2020
232,09-10-2020
233,09-11-2020
234,09-12-2020
235,9-13-2020
236,9-14-2020
237,9-15-2020
238,9-16-2020
239,9-17-2020
240,9-18-2020
241,9-19-2020
242,9-20-2020
243,9-21-2020
244,9-22-2020
245,9-23-2020
246,9-24-2020
247,9-25-2020
248,9-26-2020
249,9-27-2020
250,9-28-2020
251,9-29-2020
252,9-30-2020
253,10-01-2020
254,10-02-2020
255,10-03-2020
256,10-04-2020
257,10-05-2020
258,10-06-2020
259,10-07-2020
260,10-08-2020
261,10-09-2020
262,10-10-2020
263,10-11-2020
264,10-12-2020
265,10-13-2020
266,10-14-2020
267,10-15-2020
268,10-16-2020
269,10-17-2020
270,10-18-2020
271,10-19-2020
272,10-20-2020
273,10-21-2020
274,10-22-2020
275,10-23-2020
276,10-24-2020
277,10-25-2020
278,10-26-2020
279,10-27-2020
280,10-28-2020
281,10-29-2020
282,10-30-2020
283,10-31-2020
284,11-01-2020
285,11-02-2020
286,11-03-2020
287,11-04-2020
288,11-05-2020
289,11-06-2020
290,11-07-2020
291,11-08-2020
292,11-09-2020
293,11-10-2020
294,11-11-2020
295,11-12-2020
296,11-13-2020
297,11-14-2020
298,11-15-2020
299,11-16-2020
300,11-17-2020
301,11-18-2020
302,11-19-2020
303,11-20-2020
304,11-21-2020
305,11-22-2020
306,11-23-2020
307,11-24-2020
308,11-25-2020
309,11-26-2020
310,11-27-2020
311,11-28-2020
312,11-29-2020
313,11-30-2020
314,12-01-2020
315,12-02-2020
316,12-03-2020
317,12-04-2020
318,12-05-2020
319,12-06-2020
320,12-07-2020
321,12-08-2020
322,12-09-2020
323,12-10-2020
324,12-11-2020
